SKU;QUALITY;NAME;COLOR;COMPOSITION;LOT;WIDTH;LENGTH;SIZE;@BARCODE;BARCODE CLIENT;REF
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;60;120;60x120;3701448238853;5903039449084;UNI-SHA-IVORY
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;80;150;80x150;3701448238860;5903039449091;UNI-SHA-IVORY
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;100;150;100x150;3701448238877;5903039449107;UNI-SHA-IVORY
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;120;170;120x170;3701448238884;5903039449114;UNI-SHA-IVORY
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;160;230;160x230;3701448238891;5903039449121;UNI-SHA-IVORY
UNI-IVORY;sha;PRIMERO;IVOIRE;100% Polypropylène;21001346;200;290;200x290;3701448238907;5903039449138;UNI-SHA-IVORY
UNI-RED;sha;PRIMERO;ROUGE;100% Polypropylène;21001346;60;120;60x120;3701448238914;5903039449145;UNI-SHA-RED
UNI-RED;sha;PRIMERO;ROUGE;100% Polypropylène;21001346;80;150;80x150;3701448238921;5903039449152;UNI-SHA-RED
UNI-RED;sha;PRIMERO;ROUGE;100% Polypropylène;21001346;100;150;100x150;3701448238938;5903039449169;UNI-SHA-RED
UNI-RED;sha;PRIMERO;ROUGE;100% Polypropylène;21001346;120;170;120x170;3701448238945;5903039449176;UNI-SHA-RED
UNI-RED;sha;PRIMERO;ROUGE;100% Polypropylène;21001346;160;230;160x230;3701448238952;5903039449183;UNI-SHA-RED
